#(   ee -> nnZZ
#(    W       HM      sig-tot      d-sig-tot
#TITLE 920 3.5 DATA 'NNZZ'
#CASE             'GG  '
#ARROW FROM 910 3.5 DATA TO 840 4 DATA
#
#SET ORDER X 1000. DUMMY Y 1000.
     0.200   0.000  0.425679E-08  0.922105E-11
     0.300   0.000  0.156834E-04  0.430219E-07
     0.400   0.000  0.138740E-03  0.400388E-06
     0.500   0.000  0.481228E-03  0.140241E-05
     0.750   0.000  0.262382E-02  0.802956E-05
     1.000   0.000  0.645569E-02  0.205160E-04
     1.250   0.000  0.114733E-01  0.380145E-04
     1.500   0.000  0.172503E-01  0.594874E-04
     1.750   0.000  0.234922E-01  0.846623E-04
     2.000   0.000  0.299638E-01  0.111053E-03
#JOIN

